"Y9H_SCHID","Y9H_SCH1","Y9H_SCH2R","Y9H_SCH3R","Y9H_SCH4_1","Y9H_SCH4_2","Y9H_SCH4_3","Y9H_SCH4_4","Y9H_SCH4_5","Y9H_SCH4_6","Y9H_SCH4_7","Y9H_SCH4_8","Y9H_SCH4_9R","Y9H_SCH4_10","Y9H_SCH4_11","Y9H_SCH4_12","Y9H_SCH4_13","Y9H_SCH4_14","Y9H_SCH4_15","Y9H_SCH4_16","Y9H_SCH4_17","Y9H_SCH4_18","Y9H_SCH4_19","Y9H_SCH4_19etc","Y9H_SCH5_1","Y9H_SCH5_1_1","Y9H_SCH5_1_2","Y9H_SCH5_2","Y9H_SCH5_3","Y9H_SCH5_4","Y9H_SCH5_5","Y9H_SCH6A1","Y9H_SCH6A2","Y9H_SCH6A3","Y9H_SCH6A4","Y9H_SCH6B1","Y9H_SCH6B2","Y9H_SCH6B3","Y9H_SCH6B4","Y9H_SCH6B5","Y9H_SCH6C1","Y9H_SCH6C2","Y9H_SCH6C3","Y9H_SCH6D1","Y9H_SCH6D2","Y9H_SCH6D3","Y9H_SCH6D4","Y9H_SCH6D5","Y9H_SCH6D6","Y9H_SCH6D7","Y9H_SCH6D8","Y9H_SCH6D9","Y9H_SCH6D10","Y9H_SCH6D11","Y9H_SCH6D12","Y9H_SCH6D13","Y9H_SCH6D14","Y9H_SCH6D15","Y9H_SCH6D16","Y9H_SCH6D17","Y9H_SCH6D18","Y9H_SCH6D19","Y9H_SCH6D20","Y9H_SCH6D21","Y9H_SCH6D22","Y9H_SCH6D23","Y9H_SCH6D24","Y9H_SCH6D25","Y9H_SCH6D26","Y9H_SCH6D27","Y9H_SCH6D28","Y9H_SCH6D28etc","Y9H_SCH7_1","Y9H_SCH7_2","Y9H_SCH7_3","Y9H_SCH7_4","Y9H_SCH7_5","Y9H_SCH7_6","Y9H_SCH8_1","Y9H_SCH8_2","Y9H_SCH8_3","Y9H_SCH9_1M","Y9H_SCH9_2M","Y9H_SCH9_3M","Y9H_SCH9_4M","Y9H_SCH9_5M","Y9H_SCH9_5etc","Y9H_SCH9_6M","Y9H_SCH10","Y9H_SCH10_1","Y9H_SCH10_2","Y9H_SCH10_2etc","Y9H_SCH11_1","Y9H_SCH11_2","Y9H_SCH11_3","Y9H_SCH12_1","Y9H_SCH12_2","Y9H_SCH13_1","Y9H_SCH13_2","Y9H_SCH13_3","Y9H_SCH13_4","Y9H_SCH13_5","Y9H_SCH13_6","Y9H_SCH14_1_1","Y9H_SCH14_1_2","Y9H_SCH14_2_1","Y9H_SCH14_2_2","Y9H_SCH14_3_1","Y9H_SCH14_3_2","Y9H_SCH14_4_1","Y9H_SCH14_4_2","Y9H_SCH14_5_1","Y9H_SCH14_5_2","Y9H_SCH14_6etc","Y9H_SCH14_6_1","Y9H_SCH14_6_2","Y9H_SCH15","Y9H_SCH15_1_1","Y9H_SCH15_1_2","Y9H_SCH15_1_3","Y9H_SCH15_1_4","Y9H_SCH15_1_5","Y9H_SCH15_1_6","Y9H_SCH16","Y9H_SCH16_1","Y9H_SCH16_1etc","Y9H_SCH16_2","Y9H_SCH16_3","Y9H_SCH17_1","Y9H_SCH17_2","Y9H_SCH17_3","Y9H_SCH17_4","Y9H_SCH17_5","Y9H_SCH17_6","Y9H_SCH17_7","Y9H_SCH17_8","Y9H_SCH17_9","Y9H_SCH18_1","Y9H_SCH18_2","Y9H_SCH18_3","Y9H_SCH18_4","Y9H_SCH18_5","Y9H_SCH18_6","Y9H_SCH18_7","Y9H_SCH18_8","Y9H_SCH19_1","Y9H_SCH19_2","Y9H_SCH19_3","Y9H_SCH19_4","Y9H_SCH19_5","Y9H_SCH19_6","Y9H_SCH19_7","Y9H_SCH19_8","Y9H_SCH20_1","Y9H_SCH20_2","Y9H_SCH20_3","Y9H_SCH20_4","Y9H_SCH20_5","Y9H_SCH20_6"
301.0,1,1,3,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,,,301.0,162.0,139.0,9.0,11.0,1.0,0.0,,10.0,1.0,0.0,15.0,27.0,15.0,6.0,,33.0,29.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,72.8,11.4,0.0,5.0,0.0,10.8,0,0,0,,,,,,,,1,2,-999,,5,5,5,5,5,10.0,17.0,5.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,1,1,1,1,1,1,1,1,7,8,54.0,15.0,1,1,1,1,1,1,1,1,1,86.0,171.0,2.0,40.0,0.0,0.0,0.0,31.0,26.0,52.0,0.0,12.0,0.0,0.0,0.0,10.0,,,,,,
302.0,1,1,3,1,2,2,2,1,2,2,2,2,2,2,,2,,2,2,2,2,2,,248.0,130.0,118.0,27.0,,0.0,7.0,71.0,16.0,1.0,1.0,21.0,16.0,23.0,11.0,17.0,44.0,27.0,,2.0,,,1.0,,,,,,1.0,,,1.0,,7.0,,1.0,,,,1.0,,,,,,,,,,,,,,,2,2,2,0,0,0,1,0,,0,2,,1,,4,4,4,4,4,9.0,25.0,5.0,7.0,0.0,5.0,1.0,20.0,,,,,,,,,,,,1,1,1,2,1,1,2,1,7,,71.0,22.5,1,1,1,1,1,1,1,1,1,83.0,80.0,1.0,,,,,,30.0,40.0,,,,,,,18.0,,,,,
303.0,1,1,3,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,,318.0,170.0,148.0,6.0,7.0,,,60.0,14.0,1.0,,5.0,35.0,15.0,5.0,18.0,36.0,24.0,,1.0,,,2.0,1.0,,,,,,,,,1.0,9.0,,1.0,,,,1.0,,,,,,,3.0,"시설당직원, 시설미화원, 시설관리보조원",67.4,17.0,0.3,5.3,0.0,10.0,0,0,0,0,0,0,0,0,,1,2,,1,,5,5,5,5,5,102.0,22.0,3.0,15.0,1.0,8.0,,,1.0,,,,,,,,,,,1,1,1,1,1,1,2,1,7,12,71.0,30.0,1,1,1,1,1,1,1,1,1,92.0,188.0,3.0,,,,,,,94.3,2.5,,,,,,,,,,,
304.0,1,1,3,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,,342.0,184.0,158.0,,,,,84.0,11.0,1.0,0.0,10.0,36.0,20.0,7.0,18.09,41.0,30.0,2.0,,,,,,,1.0,,,,,,,1.0,9.0,,,,,,1.0,1.0,,,,,,2.0,"시설미화원 1, 시설당직원 1",77.4,5.5,,2.8,,14.3,0,0,0,0,0,0,0,0,,1,2,,1,,4,4,4,5,5,22.0,11.0,8.0,4.0,0.0,0.0,1.0,12.0,,,,,,,,,,,,1,1,1,1,1,1,2,1,7,,75.0,225.0,1,1,1,1,1,1,1,1,1,100.0,120.0,5.0,10.0,10.0,10.0,,,30.0,60.0,,,,,,10.0,,,,,,
306.0,1,1,3,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,,256.0,141.0,115.0,12.0,11.0,7.0,,66.0,13.0,1.0,,23.0,40.0,12.0,5.0,14.42,46.0,33.0,1.0,2.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,1.0,,2.0,,,,,,,79.0,11.5,,3.5,,6.0,0,0,0,0,0,0,0,0,,1,2,,1,,5,4,4,5,5,24.0,22.0,4.0,8.0,,,1.0,5.0,,,,,,,,,,,,1,1,1,1,1,1,1,1,7,,64.0,60.0,1,1,1,1,1,1,1,1,1,94.0,108.0,,13.0,,2.0,53.0,,32.0,62.0,1.0,5.0,,,,,,,,,,
307.0,1,1,3,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,,226.0,99.0,127.0,8.0,,,,56.0,7.0,1.0,0.0,10.0,23.0,16.0,7.0,17.9,21.0,33.0,2.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,77.0,14.2,0.3,6.5,0.0,2.0,3,3,3,0,0,0,0,0,,1,2,,1,,3,3,3,1,1,27.0,15.0,10.0,5.0,,25.0,1.0,10.0,,,,,,,,,,,,1,1,1,2,1,1,2,1,,8,62.0,15.0,1,1,1,1,1,1,1,1,1,95.0,120.0,,,,,,,35.0,65.0,,,,,,,,,,,,
308.0,2,1,2,2,1,,,1,,,,2,,,1,,,1,,,1,,,139.0,,139.0,,,,,22.0,12.0,1.0,,,12.0,6.0,4.0,21.6,5.0,16.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,87.8,7.0,0.7,0.7,0.5,3.3,1,1,1,0,1,0,1,0,,0,1,2,-999,,4,4,4,4,4,20.0,7.0,6.0,3.0,,,,,1.0,5.0,,,,,,,,,,1,1,1,1,1,1,2,1,5,,36.0,30.0,1,1,1,1,1,1,1,2,1,50.0,7.0,,62.0,,,,25.0,40.0,10.0,,50.0,,,,,,15.0,,,,
309.0,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,"교육협동조합운영",309.0,309.0,0.0,16.0,20.0,0.0,1.0,75.0,21.0,1.0,0.0,38.0,32.0,8.0,7.0,14.68,41.0,33.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"특수운영직+보조직",73.2,17.8,0.0,3.2,0.0,5.8,0,0,0,0,0,0,0,0,,1,2,,1,,5,5,3,5,5,55.0,13.0,9.0,16.0,,,1.0,25.0,0.0,,0.0,,0.0,,0.0,,,0.0,,1,1,1,1,1,1,2,1,7,,69.0,180.0,1,1,1,1,1,1,1,1,1,152.0,157.0,2.0,10.0,26.0,20.0,20.0,8.0,25.0,66.0,1.0,2.0,2.0,1.0,0.0,3.0,,,,,,
310.0,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,228.0,228.0,,5.0,,,,48.0,8.0,1.0,0.0,6.0,27.0,13.0,2.0,15.99,22.0,25.0,1.0,2.0,,,7.0,,,,,,,,,1.0,2.0,8.0,,1.0,,,,1.0,2.0,2.0,,,,,,,66.7,10.0,20.3,,,3.0,2,2,2,0,1,0,0,0,,0,2,,1,,4,4,4,5,5,106.0,1.0,7.0,4.0,2.0,10.0,,,1.0,25.0,,,,,,,,,,1,1,1,1,1,1,1,1,4,,56.0,105.0,1,1,1,1,1,1,1,2,1,26.0,174.0,,,,,,100.0,10.0,90.0,,,,,,,,,,,,
312.0,1,1,3,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,,239.0,139.0,100.0,5.0,16.0,3.0,2.0,49.0,9.0,1.0,,8.0,28.0,10.0,3.0,15.0,22.0,26.0,1.0,2.0,,,1.0,,,,,,,,,,1.0,7.0,,1.0,,,,1.0,4.0,1.0,,,,,3.0,"시설당직원1, 시설미화원 2",74.8,10.5,0.0,3.5,0.0,11.2,0,0,0,0,0,0,0,0,,1,1,1,-999,,5,5,5,0,0,70.0,8.0,6.0,0.0,2.0,2.0,,,1.0,15.0,,,,,,,,,,1,1,1,2,1,1,1,1,4,,35.0,30.0,1,1,1,1,2,2,1,2,1,57.0,131.0,,20.0,,,5.0,71.0,22.0,65.0,,10.0,,,,3.0,,,,,,
